bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,13,361,83
ab,N,Y,Y,1,77,4
ad,N,Y,Y,0,78,10
ae,Y,Y,Y,2,16,11
af,N,Y,Y,0,7,2
ag,Y,Y,N,3,7,0
ah,N,N,N,0,0,0
ai,N,Y,Y,0,5,2
ak,N,Y,Y,0,90,11
al,Y,Y,Y,4,162,21
am,Y,Y,Y,5,159,45
an,Y,Y,Y,16,267,62
ao,N,N,N,0,0,0
ap,N,Y,N,0,18,0
ar,Y,Y,Y,3,51,11
as,Y,Y,Y,4,71,18
at,Y,Y,Y,3,21,2
au,N,Y,Y,0,28,2
av,N,N,N,0,0,0
aw,Y,Y,N,2,4,0
ay,Y,Y,N,6,12,0
az,N,Y,N,1,6,0
aŋ,N,Y,Y,0,110,15
ba,Y,Y,Y,66,98,29
bb,N,Y,N,0,2,0
bd,N,N,N,0,0,0
be,Y,Y,Y,39,29,4
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,62,225,18
bk,N,Y,N,0,5,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,Y,N,0,6,0
bo,Y,Y,Y,27,16,8
bp,N,Y,N,0,3,0
br,N,N,N,0,0,0
bs,N,Y,N,0,4,0
bt,N,N,N,0,1,0
bu,Y,Y,Y,110,42,5
bv,N,N,N,0,1,0
bw,N,N,N,0,0,0
by,N,N,N,0,1,0
bz,N,N,N,0,1,0
bŋ,N,N,N,0,0,0
da,Y,Y,Y,79,88,66
db,N,N,N,0,1,0
dd,N,Y,N,0,3,0
de,Y,Y,Y,12,18,14
df,N,N,N,0,0,0
dg,N,N,N,0,1,0
dh,N,N,N,0,0,0
di,Y,Y,Y,52,264,100
dk,N,Y,N,0,2,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,Y,N,0,41,0
do,Y,Y,N,21,2,1
dp,N,Y,N,0,2,0
dr,N,N,N,0,0,0
ds,N,Y,N,0,2,0
dt,N,N,N,0,0,0
du,Y,Y,N,23,44,1
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,N,Y,Y,0,66,7
ed,N,Y,Y,0,47,9
ee,Y,Y,Y,8,112,38
ef,N,Y,Y,0,4,3
eg,N,Y,Y,0,12,4
eh,N,N,N,0,0,0
ei,N,Y,Y,0,5,2
ek,N,Y,N,1,23,1
el,N,Y,Y,0,119,9
em,N,Y,Y,0,50,16
en,Y,Y,Y,4,137,11
eo,N,Y,N,0,12,0
ep,N,N,N,0,1,0
er,N,Y,Y,0,22,6
es,N,Y,Y,0,28,7
et,N,Y,Y,0,12,2
eu,N,Y,N,0,19,0
ev,N,N,N,0,0,0
ew,N,N,N,0,0,0
ey,N,Y,N,0,24,0
ez,N,N,N,0,0,0
eŋ,N,Y,Y,0,68,13
fa,Y,Y,Y,25,2,2
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,N,5,2,1
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,6,7,1
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,Y,3,2,3
fp,N,N,N,0,0,0
fr,N,N,N,1,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,N,37,3,1
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,1,0
