bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,429,1059,96
ab,N,Y,Y,0,252,59
ac,N,Y,N,0,32,0
ad,N,Y,Y,0,97,3
ae,N,Y,Y,0,9,7
af,N,Y,N,0,38,0
ag,N,Y,N,0,77,1
ah,N,Y,Y,0,20,10
ai,N,N,N,0,1,1
aj,N,Y,N,0,65,1
ak,N,Y,Y,0,272,53
al,Y,Y,Y,3,246,135
am,N,Y,Y,0,215,83
an,Y,Y,Y,5,559,300
ao,N,N,N,0,0,0
ap,N,Y,Y,0,111,10
ar,N,Y,Y,1,69,57
as,N,Y,N,1,76,1
at,N,Y,Y,0,178,3
au,N,N,N,0,1,1
aw,N,Y,N,0,68,0
ay,N,Y,N,0,63,0
aŋ,N,Y,Y,0,73,32
aɔ,N,N,N,0,0,0
ba,Y,Y,Y,107,168,6
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,N,2,15,0
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,184,269,8
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,1,0
bo,Y,Y,Y,4,64,15
bp,N,N,N,0,1,0
br,N,Y,Y,1,14,15
bs,N,N,N,0,0,0
bt,N,Y,N,0,5,0
bu,Y,Y,Y,29,49,2
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,10,123,2
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,26,97,1
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
da,Y,Y,N,14,175,1
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,N,N,5,1,0
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,9,81,2
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,5,22,6
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,N,N,10,1,1
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,2,10,3
ea,N,N,N,0,1,1
eb,N,Y,Y,0,11,7
ec,N,N,N,0,0,0
ed,N,Y,N,0,3,0
ee,Y,Y,Y,2,186,20
ef,N,Y,N,0,2,1
eg,N,N,N,0,1,0
eh,N,Y,Y,0,18,2
ei,N,Y,Y,0,10,10
ej,N,Y,N,0,2,1
ek,N,Y,Y,0,45,9
el,N,Y,Y,1,81,41
em,N,Y,Y,0,14,13
en,Y,Y,Y,2,106,72
eo,N,N,N,0,0,0
ep,N,Y,N,0,8,0
er,N,Y,Y,1,49,24
es,N,N,N,0,0,0
et,N,Y,N,0,16,0
eu,N,N,N,0,0,0
ew,N,N,N,0,1,0
ey,N,N,N,0,1,0
eŋ,N,Y,Y,0,20,17
eɔ,N,N,N,0,0,0
fa,Y,Y,N,5,55,0
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,N,5,5,1
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,7,5,0
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,N,N,2,0,1
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,N,6,12,1
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,Y,Y,N,2,8,0
ga,Y,Y,N,12,21,1
