bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,396,1773,476
ab,Y,Y,N,117,652,0
ad,Y,Y,N,9,130,0
ae,N,N,N,0,0,0
af,Y,Y,N,27,328,0
ag,N,N,N,0,0,0
ah,Y,N,N,2,0,0
ai,N,N,N,0,0,0
ak,Y,Y,N,91,1261,0
al,Y,Y,N,51,633,0
am,Y,Y,N,57,370,1
an,Y,Y,Y,209,1165,9
ao,N,N,N,0,0,0
ap,Y,Y,N,8,75,0
ar,N,Y,N,0,2,0
as,Y,Y,N,27,606,0
at,Y,Y,N,155,1245,0
au,N,N,N,0,1,0
aw,Y,Y,N,20,258,0
ay,Y,Y,N,18,298,0
aá,N,N,N,0,0,0
aã,N,N,N,0,0,0
aé,N,N,N,0,0,0
aí,N,N,N,0,0,0
aú,N,N,N,0,0,0
aĩ,N,N,N,0,0,0
aũ,N,N,N,0,0,0
aɔ,N,N,N,0,1,0
aɛ,N,Y,Y,0,4,3
ba,Y,Y,Y,942,776,19
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,92,45,28
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,676,152,48
bk,N,N,N,0,0,0
bl,Y,Y,N,43,226,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,55,21,11
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,417,378,68
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bá,N,N,N,0,0,0
bã,N,N,N,0,0,0
bé,N,N,N,0,0,0
bí,Y,N,N,6,0,0
bú,N,N,N,0,0,0
bĩ,N,N,N,0,0,0
bũ,N,N,N,0,0,0
bɔ,Y,Y,Y,84,64,51
bɛ,Y,Y,Y,90,42,22
da,N,N,N,1,0,0
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,N,N,2,0,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,635,305,74
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,N,N,0,0,0
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,1,64,47
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
