bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,N,N,0,0,0
ab,Y,N,N,5,1,0
ac,N,Y,N,0,5,0
ad,N,Y,N,0,4,0
ae,N,N,N,0,0,0
af,Y,Y,N,3,4,0
ag,N,N,N,1,1,0
ah,N,N,N,0,1,0
ai,N,N,N,0,0,0
aj,N,N,N,0,0,0
ak,N,Y,N,0,16,0
al,N,Y,N,0,7,0
am,N,Y,N,1,9,0
an,Y,Y,Y,177,194,102
ao,N,N,N,0,0,0
ap,N,Y,N,0,3,0
ar,N,N,N,1,0,0
as,N,Y,N,0,5,0
at,N,Y,N,0,6,0
au,N,N,N,0,0,0
av,N,Y,N,0,2,0
aw,N,Y,N,0,5,0
ay,N,Y,N,0,2,0
az,N,N,N,0,0,0
aà,N,N,N,0,0,0
aá,N,N,N,0,0,0
aâ,N,N,N,0,0,0
aè,N,N,N,0,0,0
aé,N,N,N,0,0,0
aì,N,N,N,0,0,0
aí,N,N,N,0,0,0
aî,N,N,N,0,0,0
aò,N,N,N,0,0,0
aó,N,N,N,0,0,0
aô,N,N,N,0,0,0
aù,N,N,N,0,0,0
aú,N,N,N,0,0,0
aü,N,N,N,0,0,0
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aɩ,N,N,N,0,0,0
aẅ,N,Y,N,0,3,0
ba,Y,Y,Y,7,17,4
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,3,8,5
bf,N,N,N,0,0,0
bg,N,Y,N,1,3,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,6,11,8
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,N,12,10,1
bp,N,N,N,0,0,0
br,Y,Y,N,16,57,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,2,10,2
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bà,Y,Y,Y,4,40,3
bá,Y,Y,Y,5,9,3
bâ,N,N,N,0,0,0
bè,N,Y,N,0,2,0
bé,N,N,N,0,1,1
bì,Y,Y,Y,5,6,6
