bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,23,506,268
ab,N,Y,Y,0,91,11
ac,N,Y,N,0,13,0
ad,N,Y,N,0,25,1
ae,N,N,N,0,0,0
af,N,Y,N,0,7,0
ag,N,Y,N,1,110,0
ah,N,N,N,0,0,0
ai,N,Y,Y,0,28,15
aj,N,Y,N,0,4,0
ak,N,Y,Y,0,134,40
al,N,Y,N,1,146,0
am,N,Y,Y,0,120,18
an,Y,Y,Y,31,143,4
ao,N,N,N,0,0,0
ap,N,Y,N,0,20,0
ar,Y,Y,N,2,106,0
as,N,Y,N,1,111,0
at,N,Y,N,1,62,0
au,N,Y,Y,0,17,4
av,N,Y,N,0,6,0
aw,N,Y,N,0,21,0
ay,Y,Y,N,5,35,0
az,N,Y,N,0,9,0
ba,Y,Y,Y,38,117,60
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,Y,N,0,4,0
be,Y,Y,N,23,12,1
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,60,112,26
bj,N,Y,N,0,2,0
bk,N,Y,N,0,2,0
bl,N,Y,N,0,8,0
bm,N,N,N,0,0,0
bn,N,N,N,0,1,0
bo,Y,Y,Y,48,20,4
bp,N,N,N,0,0,0
br,N,Y,N,0,7,0
bs,N,Y,N,0,11,0
bt,N,Y,N,0,8,0
bu,Y,Y,N,53,14,1
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,113,47,1
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
da,Y,Y,Y,56,17,3
db,N,Y,N,0,2,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,26,10,3
df,N,N,N,0,0,0
dg,Y,N,N,2,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,26,26,5
dj,N,N,N,0,0,0
dk,Y,N,N,4,1,1
dl,N,N,N,0,0,0
dm,N,Y,N,0,3,0
dn,N,N,N,0,0,0
do,Y,Y,Y,9,14,7
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,20,16,3
dv,N,N,N,0,0,0
dw,N,Y,N,0,3,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
ea,N,Y,Y,0,21,20
eb,N,Y,N,0,26,0
ec,N,N,N,0,0,0
ed,N,N,N,0,0,0
ee,N,Y,N,1,138,0
ef,N,N,N,0,0,0
eg,N,Y,N,0,20,0
eh,N,N,N,0,0,0
ei,N,Y,N,0,6,1
ej,N,N,N,0,1,0
ek,N,Y,Y,0,43,6
el,N,Y,N,1,60,0
em,N,Y,Y,0,54,16
en,N,Y,Y,0,85,4
eo,N,Y,N,0,6,0
ep,N,N,N,0,1,0
er,N,Y,Y,0,100,4
es,N,Y,N,0,25,0
et,N,Y,N,0,11,0
eu,N,Y,Y,0,6,2
ev,N,N,N,0,0,0
ew,N,Y,N,0,10,0
ey,N,Y,N,0,2,0
ez,N,Y,N,0,2,0
fa,Y,Y,N,6,2,0
fb,N,N,N,1,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,N,4,3,1
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,13,19,1
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,N,11,2,0
fp,N,N,N,0,0,0
fr,Y,N,N,2,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,N,N,8,0,1
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
ga,Y,Y,Y,35,48,43
gb,Y,Y,N,30,10,0
gc,N,N,N,0,0,0
gd,N,Y,N,0,2,0
ge,Y,Y,Y,16,12,4
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,7,70,45
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,Y,N,0,26,0
gm,N,Y,N,0,4,0
gn,N,Y,N,0,6,0
go,Y,Y,N,25,9,1
gp,N,N,N,0,0,0
gr,N,Y,Y,0,47,2
gs,N,Y,N,0,50,0
gt,Y,Y,N,2,11,0
gu,Y,Y,N,11,6,1
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,0,1,0
gz,N,N,N,0,0,0
ha,N,Y,N,0,46,1
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,Y,N,0,25,0
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,Y,N,1,53,0
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,Y,N,0,19,1
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,N,0,4,0
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
hz,N,N,N,0,0,0
