bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,13,603,58
ab,Y,Y,Y,13,347,29
ac,N,Y,N,1,28,0
ad,Y,Y,Y,7,31,3
ae,N,N,N,0,0,0
af,Y,Y,N,2,25,1
ag,Y,Y,Y,4,36,12
ah,Y,Y,Y,5,360,17
ai,N,Y,Y,1,32,21
aj,N,N,N,0,1,0
ak,Y,Y,Y,3,89,2
al,Y,Y,Y,51,553,39
am,Y,Y,Y,15,275,47
an,Y,Y,Y,28,715,113
ao,N,N,N,0,0,0
ap,Y,Y,N,3,65,0
ar,Y,Y,Y,10,446,22
as,Y,Y,N,13,53,0
at,Y,Y,N,4,56,0
au,N,Y,N,1,11,1
av,N,Y,N,0,2,0
aw,Y,Y,N,6,30,0
ay,Y,Y,N,9,98,0
az,Y,Y,N,9,17,0
aŋ,Y,Y,Y,9,307,60
aɔ,N,N,N,0,0,0
aɛ,Y,Y,N,3,6,0
aɣ,Y,Y,Y,14,415,26
aʒ,N,Y,N,0,4,0
ba,Y,Y,Y,140,487,248
bb,N,Y,N,0,43,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,15,6,5
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,409,802,49
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,31,82,77
bp,N,N,N,0,1,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,105,393,297
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,89,69,4
bɛ,Y,Y,Y,19,16,3
bɣ,N,N,N,0,0,0
bʒ,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,149,141,1
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cɛ,N,N,N,0,0,0
cɣ,N,N,N,0,0,0
cʒ,N,N,N,0,0,0
da,Y,Y,Y,233,177,69
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,18,9,3
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,89,326,114
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,33,23,5
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,104,40,3
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,N,41,21,0
dɛ,Y,Y,N,3,2,0
dɣ,N,N,N,0,0,0
dʒ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,N,Y,N,0,12,0
ec,N,Y,N,0,4,0
ed,N,N,N,0,0,0
ee,Y,Y,Y,7,191,32
ef,N,N,N,0,0,0
eg,N,Y,Y,1,11,9
eh,N,N,N,0,0,0
ei,N,Y,Y,1,14,14
ej,N,N,N,0,0,0
ek,N,Y,N,1,3,0
el,N,Y,N,1,6,1
em,N,Y,Y,1,27,4
en,N,Y,Y,0,57,5
eo,N,N,N,0,0,0
ep,N,N,N,0,0,0
er,N,Y,N,0,25,1
es,N,Y,N,0,5,0
et,N,Y,N,0,3,0
eu,N,N,N,0,0,0
ev,N,N,N,0,0,0
ew,N,N,N,0,0,0
ey,N,Y,N,0,5,0
ez,N,N,N,0,0,0
eŋ,N,Y,N,0,6,1
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
eɣ,N,N,N,0,0,0
eʒ,N,N,N,0,0,0
fa,Y,Y,Y,52,28,8
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,N,2,6,1
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,52,21,2
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,N,8,2,1
fp,N,N,N,0,0,0
fr,N,N,N,1,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,14,18,9
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,Y,N,N,18,0,0
fɛ,N,Y,N,1,2,0
fɣ,N,N,N,0,0,0
fʒ,N,N,N,0,0,0
ga,Y,Y,Y,89,125,93
gb,Y,Y,Y,176,120,2
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,N,Y,Y,1,3,3
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,16,289,85
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,30,27,8
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,55,206,133
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gz,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
gɔ,Y,Y,N,33,21,1
gɛ,N,Y,N,1,2,0
gɣ,N,N,N,0,0,0
gʒ,N,N,N,0,0,0
ha,Y,Y,Y,14,88,33
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
