bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,2,354,71
ab,Y,Y,N,4,67,1
ad,N,Y,N,0,31,0
ae,N,N,N,0,0,0
af,N,Y,N,0,12,0
ag,N,Y,Y,0,88,2
ah,N,Y,N,0,22,1
ai,N,N,N,0,0,0
ak,N,Y,Y,1,36,2
al,N,Y,Y,1,334,95
am,Y,Y,Y,4,80,2
an,Y,Y,Y,3,84,2
ao,N,N,N,0,0,0
ap,N,Y,N,0,19,1
ar,N,Y,Y,0,97,2
as,N,Y,Y,0,109,6
at,N,Y,Y,0,37,3
au,N,N,N,0,0,0
av,N,Y,N,0,2,0
aw,N,Y,N,1,27,1
ay,N,Y,N,0,27,1
az,N,N,N,0,0,0
aá,N,N,N,0,0,0
aŋ,Y,Y,Y,7,187,65
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aɩ,N,N,N,0,0,0
aʋ,N,N,N,0,0,0
ba,Y,Y,Y,73,167,15
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,N,17,22,0
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,42,134,2
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,N,14,33,1
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,N,17,13,1
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bá,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,10,43,7
bɛ,N,Y,Y,0,3,2
bɩ,Y,Y,Y,24,46,7
bʋ,Y,Y,Y,32,26,2
da,Y,Y,N,37,44,1
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,N,9,9,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,22,20,3
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,17,16,1
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,N,10,35,1
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
