bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,114,311,34
ab,Y,Y,N,23,185,0
ad,Y,Y,N,11,70,0
ae,N,N,N,0,0,0
af,Y,Y,N,9,82,0
ag,Y,Y,N,7,70,0
ai,Y,Y,Y,37,144,51
ak,Y,Y,N,49,306,0
al,Y,Y,N,10,73,0
am,Y,Y,N,8,95,0
an,Y,Y,N,19,182,0
ao,N,N,N,0,0,0
ap,Y,Y,N,9,62,0
ar,Y,Y,N,9,329,0
as,Y,Y,N,21,229,0
at,Y,Y,N,30,188,0
au,N,N,N,0,0,0
av,N,N,N,0,1,0
aw,Y,Y,N,14,91,0
ay,Y,Y,N,14,57,0
az,N,N,N,0,0,0
aɔ,N,Y,N,0,50,0
aɖ,Y,Y,N,13,112,0
aɛ,N,Y,Y,0,14,11
aɣ,Y,Y,N,18,85,0
ba,Y,Y,Y,2,308,42
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,1,42,27
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bi,Y,Y,Y,10,110,23
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,252,69,34
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,10,90,17
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bɔ,Y,Y,Y,7,70,17
bɖ,N,N,N,0,0,0
bɛ,Y,Y,Y,2,29,17
bɣ,N,N,N,0,0,0
da,Y,Y,Y,28,89,3
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,Y,Y,0,8,7
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
di,N,Y,Y,0,4,2
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,10,2
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,0,9,6
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,Y,Y,N,9,238,0
dɔ,N,Y,Y,0,4,4
dɖ,N,N,N,0,0,0
dɛ,N,Y,Y,0,5,5
dɣ,N,N,N,0,0,0
ea,N,Y,Y,0,26,15
eb,N,Y,N,0,13,0
ed,N,Y,N,0,61,0
ee,N,Y,Y,0,7,6
ef,N,Y,N,0,3,0
eg,N,Y,N,0,73,0
ei,N,Y,Y,0,8,7
ek,N,Y,N,0,40,0
el,N,Y,N,0,38,0
em,N,Y,N,0,7,0
en,N,Y,N,0,7,0
eo,N,Y,Y,0,7,5
ep,N,N,N,0,1,0
er,N,Y,N,0,156,0
es,N,Y,N,0,89,0
et,N,Y,N,0,14,0
eu,N,N,N,0,0,0
ev,N,N,N,0,0,0
ew,N,Y,N,0,4,0
ey,N,Y,N,0,3,0
ez,N,N,N,0,0,0
eɔ,N,N,N,0,0,0
eɖ,N,Y,N,0,3,0
eɛ,N,N,N,0,0,0
eɣ,N,N,N,0,1,0
fa,Y,Y,Y,4,13,5
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,Y,3,48,19
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fi,Y,Y,N,5,52,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,N,2,20,1
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,4,21,14
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fɔ,Y,Y,Y,4,44,38
fɖ,N,N,N,0,0,0
fɛ,N,Y,Y,1,11,10
fɣ,N,N,N,0,0,0
ga,Y,Y,Y,4,18,2
gb,Y,Y,N,6,52,0
gd,N,N,N,0,0,0
ge,N,Y,Y,1,4,2
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gi,N,Y,Y,0,20,11
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,N,Y,Y,1,6,3
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,3,268,266
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gz,N,N,N,0,0,0
gɔ,Y,Y,Y,4,17,8
gɖ,N,N,N,0,0,0
gɛ,N,Y,Y,0,12,5
gɣ,N,N,N,0,0,0
ia,Y,Y,Y,50,225,71
ib,Y,Y,N,37,273,0
id,Y,Y,N,14,65,0
ie,N,Y,Y,0,46,34
if,Y,Y,N,13,35,0
ig,Y,Y,N,8,52,0
ii,Y,Y,Y,169,83,11
ik,Y,Y,N,59,172,0
il,Y,Y,N,11,21,0
im,Y,Y,N,12,27,0
in,Y,Y,N,28,154,0
io,N,N,N,0,1,1
ip,Y,Y,N,14,25,0
ir,Y,Y,N,12,140,0
is,Y,Y,N,40,155,1
it,Y,Y,N,45,74,0
iu,N,N,N,0,0,0
iv,N,N,N,0,0,0
iw,Y,Y,N,16,40,0
iy,Y,Y,N,14,22,0
iz,N,N,N,0,0,0
iɔ,Y,Y,Y,8,42,8
iɖ,Y,Y,N,16,60,0
iɛ,N,Y,Y,0,68,51
iɣ,Y,Y,N,20,48,0
ka,Y,Y,Y,187,114,16
kb,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,Y,3,33,4
kf,N,N,N,0,0,0
kg,N,N,N,0,0,0
ki,Y,Y,Y,5,79,52
kk,N,N,N,0,0,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,7,69,9
kp,Y,Y,N,29,308,0
kr,N,N,N,0,0,0
ks,N,N,N,0,0,0
kt,N,N,N,0,1,0
ku,Y,Y,Y,195,98,17
kv,N,N,N,0,0,0
kw,N,N,N,0,0,0
ky,N,N,N,0,0,0
kz,N,N,N,0,0,0
kɔ,Y,Y,Y,11,103,44
kɖ,N,N,N,0,0,0
kɛ,Y,Y,Y,5,55,15
kɣ,N,N,N,0,0,0
la,Y,Y,Y,7,73,54
lb,N,N,N,0,0,0
ld,N,N,N,0,0,0
le,N,Y,Y,0,75,29
lf,N,N,N,0,0,0
lg,N,N,N,0,0,0
li,N,Y,Y,1,5,5
lk,N,N,N,0,0,0
ll,N,N,N,0,0,0
lm,N,N,N,0,0,0
ln,N,N,N,0,0,0
lo,Y,Y,Y,452,15,12
lp,N,N,N,0,0,0
lr,N,N,N,0,0,0
ls,N,N,N,0,0,0
lt,N,N,N,0,0,0
lu,N,Y,N,0,6,1
lv,N,N,N,0,0,0
lw,N,N,N,0,0,0
ly,N,N,N,0,0,0
lz,N,N,N,0,0,0
lɔ,N,Y,Y,0,25,17
lɖ,N,N,N,0,0,0
lɛ,N,Y,Y,1,100,70
lɣ,N,N,N,0,0,0
ma,Y,Y,Y,615,72,46
mb,N,N,N,1,0,0
md,N,N,N,0,0,0
me,N,Y,Y,1,27,22
mf,N,N,N,0,0,0
mg,N,N,N,0,0,0
mi,Y,Y,Y,362,39,24
mk,N,N,N,0,0,0
ml,N,N,N,0,0,0
mm,Y,N,N,12,1,0
mn,N,N,N,0,0,0
mo,N,Y,Y,0,2,2
mp,Y,Y,N,2,2,0
mr,N,N,N,0,0,0
ms,N,N,N,0,0,0
mt,N,N,N,0,0,0
mu,N,Y,Y,0,24,16
mv,N,N,N,0,0,0
mw,N,N,N,0,0,0
my,N,N,N,0,0,0
mz,N,N,N,0,0,0
mɔ,Y,Y,Y,2,56,34
mɖ,N,N,N,0,0,0
mɛ,Y,Y,Y,4,14,8
mɣ,N,N,N,0,0,0
na,Y,Y,Y,3,90,69
nb,N,N,N,0,0,0
nd,Y,Y,N,9,10,0
ne,N,Y,Y,1,6,7
nf,Y,N,N,2,0,0
ng,Y,Y,N,17,8,0
ni,N,Y,Y,1,82,12
nk,N,N,N,1,0,0
nl,N,N,N,1,0,0
nm,N,N,N,0,0,0
nn,Y,N,N,8,0,0
no,N,N,N,0,1,1
np,N,N,N,0,0,0
nr,Y,N,N,3,0,0
ns,Y,Y,N,12,2,0
nt,Y,N,N,2,1,0
nu,N,Y,Y,1,12,2
nv,N,N,N,0,0,0
nw,Y,N,N,2,0,0
ny,Y,Y,N,13,233,0
nz,N,N,N,0,0,0
nɔ,Y,Y,Y,4,49,31
nɖ,Y,N,N,3,0,0
nɛ,Y,Y,Y,4,27,20
nɣ,Y,N,N,4,0,0
oa,N,Y,Y,0,214,5
ob,N,Y,N,0,33,0
od,N,Y,N,0,26,0
oe,N,Y,Y,0,24,20
of,N,Y,N,0,26,0
og,N,Y,N,0,20,0
oi,N,Y,Y,0,160,17
ok,N,Y,N,0,70,0
ol,N,Y,N,0,20,0
om,N,Y,N,0,15,0
on,N,Y,N,0,27,0
oo,N,Y,Y,1,12,9
op,N,Y,N,0,21,0
or,N,Y,N,0,124,0
os,N,Y,N,0,63,0
ot,N,Y,N,0,61,0
ou,N,N,N,0,0,0
ov,N,N,N,0,1,0
ow,N,Y,N,0,21,0
oy,N,Y,N,0,7,0
oz,N,N,N,0,0,0
oɔ,N,Y,N,0,55,0
oɖ,N,Y,N,0,21,0
oɛ,N,N,N,0,0,0
oɣ,N,Y,N,0,21,0
pa,N,Y,Y,1,142,45
pb,N,N,N,0,0,0
pd,N,N,N,0,0,0
pe,Y,Y,Y,2,73,8
pf,N,N,N,0,0,0
pg,N,N,N,0,0,0
pi,Y,Y,Y,2,113,40
pk,N,N,N,0,0,0
pl,N,N,N,0,0,0
pm,N,N,N,0,0,0
pn,N,N,N,0,0,0
